Time (sec.), Cycles, "speed_target", "speed_actual", "speed_error"
4.349742613, 730756759, 90.000000000, 89.547828674, -0.310119629
4.349791554, 730764981, 90.000000000, 89.547828674, -0.452171326
4.399742583, 739156754, 90.000000000, 89.547828674, -0.452171326
4.399742619, 739156760, 90.000000000, 90.201232910, -0.452171326
4.399791554, 739164981, 90.000000000, 90.201232910, 0.201232910
4.449742488, 747556738, 90.000000000, 90.201232910, 0.201232910
4.449742524, 747556744, 90.000000000, 90.541000366, 0.201232910
4.449791554, 747564981, 90.000000000, 90.541000366, 0.541000366
4.499742554, 755956749, 90.000000000, 90.541000366, 0.541000366
4.499742589, 755956755, 90.000000000, 89.990409851, 0.541000366
4.499791554, 755964981, 90.000000000, 89.990409851, -0.009590149
4.549742577, 764356753, 90.000000000, 89.990409851, -0.009590149
4.549742613, 764356759, 90.000000000, 90.431365967, -0.009590149
4.549791554, 764364981, 90.000000000, 90.431365967, 0.431365967
4.599742619, 772756760, 90.000000000, 90.431365967, 0.431365967
4.599742655, 772756766, 90.000000000, 89.933395386, 0.431365967
4.599791554, 772764981, 90.000000000, 89.933395386, -0.066604614
4.649742560, 781156750, 90.000000000, 89.933395386, -0.066604614
4.649742595, 781156756, 90.000000000, 90.401725769, -0.066604614
4.649791554, 781164981, 90.000000000, 90.401725769, 0.401725769
4.699742548, 789556748, 90.000000000, 90.401725769, 0.401725769
4.699742583, 789556754, 90.000000000, 90.645256042, 0.401725769
4.699791554, 789564981, 90.000000000, 90.645256042, 0.645256042
4.749742554, 797956749, 90.000000000, 90.645256042, 0.645256042
4.749742589, 797956755, 90.000000000, 90.044624329, 0.645256042
4.749791554, 797964981, 90.000000000, 90.044624329, 0.044624329
4.799742530, 806356745, 90.000000000, 90.044624329, 0.044624329
4.799742565, 806356751, 90.000000000, 90.459564209, 0.044624329
4.799791554, 806364981, 90.000000000, 90.459564209, 0.459564209
4.849742536, 814756746, 90.000000000, 90.459564209, 0.459564209
4.849742571, 814756752, 90.000000000, 89.948059082, 0.459564209
4.849791554, 814764981, 90.000000000, 89.948059082, -0.051940918
4.899742589, 823156755, 90.000000000, 89.948059082, -0.051940918
4.899742625, 823156761, 90.000000000, 89.682083130, -0.051940918
4.899791554, 823164981, 90.000000000, 89.682083130, -0.317916870
4.949742667, 831556768, 90.000000000, 89.682083130, -0.317916870
4.949742702, 831556774, 90.000000000, 88.816497803, -0.317916870
